name,team,position,opponent_team_1,opponent_team_2,opponent_team_3,opponent_team_4,opponent_team_5,opponent_team_6,opponent_team_7,opponent_team_8,opponent_team_9,opponent_team_10,opponent_team_11
FÃ¡bio Freitas Gouveia Carvalho,12.0,MID,9.0,7.0,14.0,3.0,15.0,8.0,,10.0,5.0,1.0,13.0
Gabriel Fernando de Jesus,1.0,FWD,7.0,10.0,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0
Gabriel Martinelli Silva,1.0,MID,7.0,10.0,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0
Gabriel dos Santos MagalhÃ£es,1.0,DEF,7.0,10.0,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0
Garang Kuol,,,,,,,,,,,,,
Gavin Bazunu,17.0,GK,18.0,11.0,10.0,14.0,6.0,20.0,,2.0,8.0,13.0,19.0
George Abbott,,,,,,,,,,,,,
George Shelvey,,,,,,,,,,,,,
George Wickens,,,,,,,,,,,,,
Georginio Rutter,,,,,,,,,,,,,
Gianluca Scamacca,19.0,FWD,13.0,16.0,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0
Giulian Biancone,16.0,DEF,15.0,19.0,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0
GonÃ§alo Manuel Ganchinho Guedes,,,,9.0,18.0,15.0,3.0,17.0,,13.0,19.0,6.0,16.0
Granit Xhaka,1.0,MID,7.0,10.0,3.0,9.0,2.0,14.0,,4.0,18.0,12.0,11.0
Gustavo Henrique Furtado Scarpa,,,,,,,,,,,,,
Hakim Ziyech,6.0,MID,8.0,18.0,11.0,10.0,17.0,19.0,,8.0,7.0,20.0,2.0
Halil DerviÅoÄlu,4.0,FWD,10.0,14.0,9.0,8.0,7.0,11.0,,1.0,3.0,15.0,5.0
Hamed TraorÃ¨,,,,,,,,,,,,,
Hamza Choudhury,11.0,MID,4.0,1.0,17.0,6.0,14.0,5.0,,18.0,16.0,3.0,7.0
Harrison Ashby,19.0,DEF,13.0,16.0,5.0,2.0,18.0,6.0,,8.0,20.0,9.0,17.0
Harrison Reed,9.0,MID,12.0,20.0,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0
Harry Arter,16.0,MID,15.0,19.0,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0
Harry Kane,18.0,FWD,17.0,6.0,20.0,16.0,19.0,9.0,,10.0,1.0,5.0,8.0
Harry Maguire,14.0,DEF,5.0,4.0,12.0,17.0,10.0,1.0,,19.0,13.0,8.0,15.0
Harry Souttar,,,,,,,,,,,,,
Harry Toffolo,16.0,DEF,15.0,19.0,8.0,18.0,13.0,3.0,,9.0,10.0,2.0,20.0
Harry Wilson,9.0,MID,12.0,20.0,4.0,1.0,5.0,18.0,,16.0,15.0,19.0,3.0
