name,team,position,minutes_1,minutes_2,minutes_3,minutes_4,minutes_5,minutes_6,minutes_7,minutes_8,minutes_9,minutes_10,minutes_11
Ben Mee,4.0,DEF,58.0,90.0,90.0,90.0,90.0,90.0,,90.0,90.0,70.0,90.0
Ben Pearson,3.0,MID,71.0,90.0,45.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0
Benjamin White,1.0,DEF,90.0,74.0,74.0,90.0,64.0,79.0,,85.0,88.0,90.0,75.0
BenoÃ®t Badiashile,,,,,,,,,,,,,
Bernardo Veiga de Carvalho e Silva,13.0,MID,12.0,25.0,90.0,90.0,90.0,72.0,,71.0,90.0,77.0,90.0
Bernd Leno,9.0,GK,0.0,0.0,90.0,90.0,90.0,90.0,,90.0,90.0,90.0,90.0
Bertrand TraorÃ©,2.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Billy Gilmour,6.0,MID,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0
Bobby Clark,,,,0.0,0.0,7.0,0.0,0.0,,,0.0,0.0,0.0
Bobby De Cordova-Reid,9.0,MID,90.0,90.0,90.0,90.0,90.0,60.0,,90.0,90.0,90.0,90.0
Boubacar Kamara,2.0,MID,81.0,90.0,90.0,90.0,82.0,90.0,,43.0,0.0,0.0,0.0
Boubacar TraorÃ©,,,,,,,,,,20.0,17.0,0.0,8.0
Boubakary SoumarÃ©,11.0,MID,0.0,0.0,0.0,54.0,90.0,71.0,,5.0,45.0,78.0,64.0
Braian Ojeda RodrÃ­guez,16.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Brandon Austin,18.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Brandon Williams,14.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Brenden Aaronson,10.0,MID,84.0,90.0,82.0,81.0,75.0,90.0,,,78.0,75.0,90.0
Brennan Johnson,16.0,FWD,90.0,90.0,90.0,90.0,57.0,84.0,,90.0,90.0,90.0,90.0
Brice Samba,16.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Bruno Borges Fernandes,14.0,MID,89.0,90.0,90.0,90.0,90.0,90.0,,,90.0,90.0,90.0
Bruno GuimarÃ£es Rodriguez Moura,15.0,MID,90.0,90.0,90.0,0.0,0.0,0.0,,71.0,58.0,77.0,77.0
Bryan Gil Salvatierra,18.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Bryan Mbeumo,4.0,FWD,90.0,72.0,90.0,77.0,67.0,82.0,,75.0,60.0,61.0,79.0
Bukayo Saka,1.0,MID,90.0,83.0,87.0,90.0,87.0,90.0,,90.0,90.0,90.0,81.0
Callum Hudson-Odoi,6.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Callum Wilson,15.0,FWD,89.0,86.0,69.0,0.0,0.0,0.0,,0.0,65.0,83.0,77.0
Calum Chambers,2.0,DEF,0.0,1.0,0.0,90.0,0.0,0.0,,0.0,0.0,0.0,0.0
Calvin Ramsay,12.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Cameron Archer,2.0,FWD,8.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,9.0,0.0
Cameron Peupion,,,,,,,,,,,,,
Cameron Plain,,,,,,,,,,,,,
Caoimhin Kelleher,12.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Carlos Alcaraz,,,,,,,,,,,,,
Carlos Henrique Casimiro,,,,,,10.0,31.0,10.0,,,31.0,90.0,90.0
Carlos Ribeiro Dias,16.0,MID,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Carlos VinÃ­cius Alves Morais,,,,,,,,5.0,,1.0,53.0,90.0,3.0
Carney Chukwuemeka,6.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4.0,0.0
Charlie Goode,4.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Charlie Robinson,,,,,,,,,,,,,
Che Adams,17.0,FWD,0.0,90.0,31.0,90.0,90.0,90.0,,70.0,90.0,90.0,73.0
Cheick DoucourÃ©,7.0,MID,74.0,78.0,90.0,90.0,90.0,90.0,,,83.0,63.0,55.0
Cheikhou KouyatÃ©,,,,,6.0,15.0,78.0,75.0,,0.0,45.0,90.0,69.0
Chem Campbell,20.0,MID,5.0,0.0,0.0,0.0,0.0,0.0,,4.0,17.0,18.0,0.0
Chris Mepham,3.0,DEF,90.0,90.0,90.0,81.0,90.0,90.0,,90.0,90.0,90.0,90.0
Chris Richards,7.0,DEF,0.0,11.0,1.0,33.0,0.0,0.0,,,0.0,0.0,0.0
Chris Wood,15.0,FWD,1.0,3.0,21.0,64.0,26.0,1.0,,1.0,0.0,6.0,12.0
Christian Benteke,7.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Christian Eriksen,14.0,MID,90.0,86.0,85.0,90.0,90.0,90.0,,,90.0,82.0,0.0
Christian NÃ¸rgaard,4.0,MID,72.0,79.0,90.0,68.0,0.0,0.0,,0.0,0.0,0.0,0.0
Christian Pulisic,6.0,MID,25.0,6.0,26.0,15.0,24.0,59.0,,,6.0,71.0,0.0
Christian Saydee,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
