name,team,position,gw1_expected_goals_conceded,gw2_expected_goals_conceded,gw3_expected_goals_conceded,gw4_expected_goals_conceded,gw5_expected_goals_conceded,gw6_expected_goals_conceded,gw7_expected_goals_conceded,gw8_expected_goals_conceded,gw9_expected_goals_conceded,gw10_expected_goals_conceded,gw11_expected_goals_conceded,gw12_expected_goals_conceded,gw13_expected_goals_conceded,gw14_expected_goals_conceded,gw15_expected_goals_conceded,gw16_expected_goals_conceded,gw17_expected_goals_conceded,gw18_expected_goals_conceded,gw19_expected_goals_conceded,gw20_expected_goals_conceded,gw21_expected_goals_conceded,gw22_expected_goals_conceded,gw23_expected_goals_conceded,gw24_expected_goals_conceded,gw25_expected_goals_conceded,gw26_expected_goals_conceded,gw27_expected_goals_conceded,gw28_expected_goals_conceded,gw29_expected_goals_conceded,gw30_expected_goals_conceded,gw31_expected_goals_conceded,gw32_expected_goals_conceded,gw33_expected_goals_conceded,gw34_expected_goals_conceded,gw35_expected_goals_conceded,gw36_expected_goals_conceded,gw37_expected_goals_conceded,gw38_expected_goals_conceded
Alexis Mac Allister,11.0,MID,1.28,2.38,1.6,0.66,0.4,1.09,1.94,2.3,0.13,0.45,0.81,0.0,1.07,1.0,0.25,0.0,0.0,0.0,0.0,0.25,1.39,0.56,3.52,1.33,0.74,,1.05,1.61,,0.44,0.59,0.71,1.87,0.31,0.7,0.74,3.36,0.51
Alfie Dorrington,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Alfie Doughty,12.0,DEF,2.55,,0.57,0.86,0.05,0.59,2.77,1.99,2.97,2.12,3.04,1.82,0.58,0.0,2.35,1.6,,1.68,2.46,1.5,0.99,0.88,2.09,1.8,2.69,,1.83,2.59,1.1,2.79,0.82,0.34,4.26,3.14,1.21,1.43,2.63,1.06
Alfie Gilchrist,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.13,0.0,1.01,0.07,0.0,,0.0,0.0,,0.36,0.0,0.0,0.04,2.77,0.0,0.04,0.0,0.0
Alfie Whiteman,18.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Alisson Ramses Becker,11.0,GK,1.28,1.29,2.0,0.66,0.63,1.11,2.1,2.3,0.13,0.45,0.81,1.57,1.35,0.0,0.0,1.74,0.63,0.8,0.76,0.59,1.39,0.56,3.52,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.87,0.8,0.7,1.16,3.36,0.56
Allan Campbell,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan Saint-Maximin,15.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphonse Areola,19.0,GK,1.37,2.45,1.52,1.43,3.63,3.06,1.07,1.95,2.02,0.82,1.4,1.68,1.27,0.88,0.0,0.0,0.0,0.91,2.68,2.48,1.44,1.17,0.16,3.66,2.79,1.12,2.73,0.65,0.63,1.44,0.0,0.0,0.0,0.0,1.75,4.13,0.42,2.01
Altay Bayindir,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amad Diallo,14.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,,0.0,0.0,0.0,0.48,0.22,0.94,0.32,1.5,1.49
Amadou Diallo,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amadou Onana,9.0,MID,1.5,3.11,1.16,1.24,1.02,0.91,0.89,0.72,1.62,0.66,0.0,1.0,0.0,0.0,0.0,0.72,0.77,1.24,2.6,2.06,1.11,0.0,0.0,0.79,0.09,0.69,1.87,2.56,,1.56,1.42,0.0,1.35,0.0,0.1,0.41,0.64,2.89
Amara Nallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amari'i Bell,12.0,DEF,4.1,,2.09,1.06,0.98,0.59,2.9,0.0,0.0,0.0,0.0,0.0,1.68,3.47,2.44,1.6,,1.24,2.59,1.5,0.99,0.88,2.28,1.81,2.81,,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ameen Al-Dakhil,6.0,DEF,2.21,,2.51,2.27,0.72,0.91,3.19,0.32,3.24,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.85,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anass Zaroury,6.0,MID,1.37,,0.0,0.0,0.2,0.0,0.05,0.0,0.0,1.05,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andi Zeqiri,5.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Brooks,17.0,MID,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.46,0.4,0.44,0.49,2.1,1.79,0.2,1.9,0.0,0.51,0.0,0.44,0.0,,0.0,0.62,0.0,0.0,0.66,2.21,1.1,1.9,1.11
