name,team,position,opponent_team_1,opponent_team_2,opponent_team_3,opponent_team_4,opponent_team_5,opponent_team_6,opponent_team_7,opponent_team_8,opponent_team_9,opponent_team_10,opponent_team_11
Kaelan Casey,,,,,,,,,,,,,
Kaide Gordon,,,,,,,,,,,,,
Kaine Kesler-Hayden,,,,,,,,,,,,,
Kiano Dyer,,,,,,,,,,,,,
Konstantinos Mavropanos,,,,,5.0,12.0,13.0,11.0,17.0,15.0,2.0,9.0,4.0
Kristian Sekularac,,,,,,,,,,,,,
Lander Emery,,,,,,,,,,,,,
Lawrence Vigouroux,6.0,GK,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Leigh Kavanagh,,,,,,,,,,,,,
Leo Castledine,,,,,,,,,,,,,
Leon Chiwome,,,,,,,,,,,,,
Lewis Koumas,,,,,,,,,,,,,
Lewis Orford,,,,,,,,,,,,,
Lewis Warrington,,,,,,,,,,,,,
Lorenz Assignon,,,,,,,,,,,,,
Louie Watson,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Louis Jackson,,,,,,,,,,,,,
Luca Barrington,,,,,,,,,,,,,
Luca Koleosho,6.0,MID,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Luis Sinisterra,,,,,,,7.0,5.0,1.0,9.0,20.0,6.0,13.0
Luke Berry,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Luke Chambers,,,,,,,,,,5.0,9.0,16.0,12.0
Luke Freeman,12.0,MID,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Luke Harris,,,,,1.0,13.0,12.0,8.0,7.0,17.0,18.0,5.0,14.0
Luke McNally,6.0,DEF,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Luke Thomas,,,,,,9.0,18.0,15.0,19.0,10.0,14.0,1.0,20.0
Lyle Foster,6.0,FWD,13.0,,2.0,18.0,16.0,14.0,15.0,7.0,4.0,3.0,8.0
Mackenzie Hunt,,,,,,,,4.0,12.0,3.0,11.0,19.0,5.0
Mads Juel Andersen,12.0,DEF,5.0,,7.0,19.0,10.0,20.0,9.0,18.0,16.0,2.0,11.0
Mahamadou Susoho,,,,,,,,,,,,,
